Timestamps,Seconds,Values
12/18/2020 9:11:10.672,0,57.5143
12/18/2020 9:11:14.703,4.031,57.5074
12/18/2020 9:11:18.828,8.156,57.4998
12/18/2020 9:11:22.859,12.187,57.5093
12/18/2020 9:11:26.874,16.202,57.518
12/18/2020 9:11:34.718,24.046,57.501
12/18/2020 9:11:38.749,28.077,57.4959
12/18/2020 9:11:42.874,32.202,57.4965
12/18/2020 9:11:46.889,36.217,57.4795
12/18/2020 9:11:50.721,40.049,57.4777
12/18/2020 9:11:54.752,44.08,57.4807
12/18/2020 9:11:58.893,48.221,57.4753
12/18/2020 9:12:02.815,52.143,57.4721
12/18/2020 9:12:06.846,56.174,57.4632
12/18/2020 9:12:10.767,60.095,57.4649
12/18/2020 9:12:14.705,64.033,57.4591
12/18/2020 9:12:18.829,68.157,57.4536
12/18/2020 9:12:22.861,72.189,57.4441
12/18/2020 9:12:26.876,76.204,57.4491
12/18/2020 9:12:30.798,80.126,57.4424
12/18/2020 9:12:34.735,84.063,57.4292
12/18/2020 9:12:38.766,88.094,57.4359
12/18/2020 9:12:42.797,92.125,57.4228
12/18/2020 9:12:46.828,96.156,57.4178
12/18/2020 9:12:50.658,99.986,57.4259
12/18/2020 9:12:58.907,108.235,57.4106
12/18/2020 9:13:02.735,112.063,57.4125
12/18/2020 9:13:06.844,116.172,57.3923
12/18/2020 9:13:15.094,124.422,57.3907
12/18/2020 9:13:19.125,128.453,57.3781
12/18/2020 9:13:22.844,132.172,57.3817
12/18/2020 9:13:26.875,136.203,57.3846
12/18/2020 9:13:37.890,147.218,57.3683
12/18/2020 9:13:39.921,149.249,57.3775
12/18/2020 9:13:43.952,153.28,57.3846
12/18/2020 9:13:47.983,157.311,57.377
12/18/2020 9:13:51.925,161.253,57.3902
12/18/2020 9:14:01.956,171.284,57.4089
12/18/2020 9:14:05.174,174.502,57.4212
12/18/2020 9:14:08.096,177.424,57.4185
12/18/2020 9:14:11.909,181.237,57.4187
12/18/2020 9:14:16.143,185.471,57.4206
12/18/2020 9:14:19.971,189.299,57.4245
12/18/2020 9:14:24.986,194.314,57.4253
12/18/2020 9:14:28.111,197.439,57.4253
12/18/2020 9:14:31.939,201.267,57.4325
12/18/2020 9:14:35.970,205.298,57.4239
12/18/2020 9:14:40.001,209.329,57.4092
12/18/2020 9:14:44.032,213.36,57.4128
12/18/2020 9:14:48.063,217.391,57.42
12/18/2020 9:14:52.096,221.424,57.4216
12/18/2020 9:14:55.939,225.267,57.4293
12/18/2020 9:14:59.970,229.298,57.4269
12/18/2020 9:15:04.095,233.423,57.4144
12/18/2020 9:15:08.017,237.345,57.4012
12/18/2020 9:15:16.173,245.501,57.398
12/18/2020 9:15:19.907,249.235,57.3988
12/18/2020 9:15:23.938,253.266,57.3926
12/18/2020 9:15:28.063,257.391,57.3931
12/18/2020 9:15:32.000,261.328,57.3999
12/18/2020 9:15:37.109,266.437,57.3995
12/18/2020 9:15:39.938,269.266,57.3897
12/18/2020 9:15:43.875,273.203,57.4076
12/18/2020 9:15:54.017,283.345,57.4525
12/18/2020 9:15:56.032,285.36,57.4581
12/18/2020 9:16:00.063,289.391,57.4624
12/18/2020 9:16:08.407,297.735,57.4843
12/18/2020 9:16:12.031,301.359,57.4888
12/18/2020 9:16:25.328,314.656,57.4974
12/18/2020 9:16:27.265,316.593,57.495
12/18/2020 9:16:37.296,326.624,57.4912
12/18/2020 9:16:45.233,334.561,57.4882
12/18/2020 9:16:47.155,336.483,57.4964
12/18/2020 9:16:51.395,340.723,57.4975
12/18/2020 9:16:55.332,344.66,57.5084
12/18/2020 9:16:59.347,348.675,57.4961
12/18/2020 9:17:04.363,353.691,57.508
12/18/2020 9:17:07.285,356.613,57.509
12/18/2020 9:17:11.206,360.534,57.5108
12/18/2020 9:17:15.237,364.565,57.506
12/18/2020 9:17:19.378,368.706,57.5088
12/18/2020 9:17:27.721,377.049,57.5005
12/18/2020 9:17:31.252,380.58,57.4964
12/18/2020 9:17:35.283,384.611,57.4971
12/18/2020 9:17:39.314,388.642,57.4872
12/18/2020 9:17:43.220,392.548,57.4781
12/18/2020 9:17:51.643,400.971,57.4831
12/18/2020 9:17:55.284,404.612,57.4846
12/18/2020 9:17:59.331,408.659,57.4821
12/18/2020 9:18:07.377,416.705,57.4822
12/18/2020 9:18:15.502,424.83,57.47
12/18/2020 9:18:19.439,428.767,57.4667
12/18/2020 9:18:29.829,439.157,57.4457
