Timestamps,Seconds,Values
12/18/2020 18:19:56.569,22790.255,19.9439
12/18/2020 18:19:52.631,22786.317,19.9397
12/18/2020 18:19:49.522,22783.208,19.9376
12/18/2020 18:19:44.499,22778.185,19.9344
12/18/2020 18:19:41.669,22775.355,19.9328
12/18/2020 18:19:36.653,22770.339,19.9277
12/18/2020 18:19:32.636,22766.322,19.9228
12/18/2020 18:19:24.479,22758.165,19.9161
12/18/2020 18:19:17.650,22751.336,19.9202
12/18/2020 18:19:12.524,22746.21,19.9251
12/18/2020 18:19:08.600,22742.286,19.9289
12/18/2020 18:19:06.461,22740.147,19.9313
12/18/2020 18:18:56.632,22730.318,19.941
12/18/2020 18:18:52.600,22726.286,19.9429
12/18/2020 18:18:48.661,22722.347,19.9414
12/18/2020 18:18:46.536,22720.222,19.9398
12/18/2020 18:18:36.410,22710.096,19.9296
12/18/2020 18:18:28.456,22702.142,19.9185
12/18/2020 18:18:24.439,22698.125,19.9112
12/18/2020 18:18:20.611,22694.297,19.9028
12/18/2020 18:18:16.485,22690.171,19.893
12/18/2020 18:18:12.661,22686.347,19.8822
12/18/2020 18:18:04.422,22678.108,19.8745
12/18/2020 18:17:52.455,22666.141,19.8828
12/18/2020 18:17:48.413,22662.099,19.8883
12/18/2020 18:17:44.584,22658.27,19.8933
12/18/2020 18:17:28.395,22642.081,19.9052
12/18/2020 18:17:20.533,22634.219,19.9078
12/18/2020 18:17:13.407,22627.093,19.9095
12/18/2020 18:17:08.376,22622.062,19.9109
12/18/2020 18:17:05.156,22618.842,19.9107
12/18/2020 18:17:00.499,22614.185,19.9103
12/18/2020 18:16:56.482,22610.168,19.9097
12/18/2020 18:16:52.358,22606.044,19.9094
12/18/2020 18:16:48.417,22602.103,19.9132
12/18/2020 18:16:44.307,22597.993,19.9081
12/18/2020 18:16:40.593,22594.279,19.905
12/18/2020 18:16:36.447,22590.133,19.9087
12/18/2020 18:16:33.416,22587.102,19.9111
12/18/2020 18:16:28.399,22582.085,19.916
12/18/2020 18:16:24.366,22578.052,19.9199
12/18/2020 18:16:20.544,22574.23,19.9227
12/18/2020 18:16:16.413,22570.099,19.9257
12/18/2020 18:16:13.397,22567.083,19.9288
12/18/2020 18:16:08.584,22562.27,19.9321
12/18/2020 18:16:02.146,22555.832,19.9392
12/18/2020 18:15:50.770,22544.456,19.9552
12/18/2020 18:15:45.548,22539.234,19.9651
12/18/2020 18:15:41.719,22535.405,19.9725
12/18/2020 18:15:37.593,22531.279,19.978
12/18/2020 18:15:29.513,22523.199,19.9766
12/18/2020 18:15:26.670,22520.356,19.9697
12/18/2020 18:15:21.653,22515.339,19.9646
12/18/2020 18:15:17.621,22511.307,19.963
12/18/2020 18:15:13.496,22507.182,19.959
12/18/2020 18:15:09.479,22503.165,19.9536
12/18/2020 18:15:05.652,22499.338,19.9467
12/18/2020 18:15:01.635,22495.321,19.9359
12/18/2020 18:14:57.603,22491.289,19.9248
12/18/2020 18:14:49.658,22483.344,19.9275
12/18/2020 18:14:46.627,22480.313,19.9307
12/18/2020 18:14:41.627,22475.313,19.9381
12/18/2020 18:14:37.595,22471.281,19.9454
12/18/2020 18:14:34.470,22468.156,19.9516
12/18/2020 18:14:29.640,22463.326,19.9626
12/18/2020 18:14:26.624,22460.31,19.9696
12/18/2020 18:14:21.608,22455.294,19.9753
12/18/2020 18:14:17.778,22451.464,19.9721
12/18/2020 18:14:13.550,22447.236,19.9675
12/18/2020 18:14:09.731,22443.417,19.9631
12/18/2020 18:14:05.590,22439.276,19.9587
12/18/2020 18:14:01.558,22435.244,19.9529
12/18/2020 18:13:57.635,22431.321,19.9451
12/18/2020 18:13:53.514,22427.2,19.9351
12/18/2020 18:13:50.682,22424.368,19.9248
12/18/2020 18:13:47.643,22421.329,19.9111
12/18/2020 18:13:36.146,22409.832,19.8714
12/18/2020 18:13:12.192,22385.878,19.8994
12/18/2020 18:13:08.454,22382.14,19.9076
12/18/2020 18:13:06.422,22380.108,19.9105
12/18/2020 18:12:56.676,22370.362,19.9126
12/18/2020 18:12:47.001,22360.687,19.9169
12/18/2020 18:12:42.866,22356.552,19.9185
12/18/2020 18:12:34.771,22348.457,19.92
12/18/2020 18:12:27.134,22340.82,19.9148
12/18/2020 18:12:17.973,22331.659,19.9253
12/18/2020 18:12:14.754,22328.44,19.9051
12/18/2020 18:12:04.206,22317.892,19.9114
12/18/2020 18:12:01.189,22314.875,19.9154
12/18/2020 18:11:56.170,22309.856,19.9211
12/18/2020 18:11:52.126,22305.812,19.9249
12/18/2020 18:11:48.201,22301.887,19.9287
12/18/2020 18:11:44.262,22297.948,19.9327
12/18/2020 18:11:40.843,22294.529,19.9358
12/18/2020 18:11:37.387,22291.073,19.9388
12/18/2020 18:11:32.074,22285.76,19.9449
12/18/2020 18:11:28.338,22282.024,19.9512
12/18/2020 18:11:20.163,22273.849,19.9697
12/18/2020 18:11:16.321,22270.007,19.9822
12/18/2020 18:11:12.195,22265.881,19.999
12/18/2020 18:11:08.554,22262.24,20.0107
12/18/2020 18:11:00.129,22253.815,20.011
12/18/2020 18:10:56.287,22249.973,19.9975
12/18/2020 18:10:52.254,22245.94,19.9971
12/18/2020 18:10:44.081,22237.767,19.9923
12/18/2020 18:10:40.062,22233.748,19.9861
12/18/2020 18:10:36.221,22229.907,19.9754
12/18/2020 18:10:28.171,22221.857,19.9204
12/18/2020 18:10:24.154,22217.84,19.9243
12/18/2020 18:10:21.139,22214.825,19.9277
12/18/2020 18:10:16.122,22209.808,19.934
12/18/2020 18:10:13.200,22206.886,19.9397
12/18/2020 18:10:08.183,22201.869,19.9512
12/18/2020 18:10:00.212,22193.898,19.9839
12/18/2020 18:09:52.180,22185.866,20.0143
12/18/2020 18:09:49.148,22182.834,20.0106
12/18/2020 18:09:44.129,22177.815,20.0053
12/18/2020 18:09:40.489,22174.175,20.0025
12/18/2020 18:09:36.254,22169.94,19.9996
12/18/2020 18:09:28.002,22161.688,19.9896
12/18/2020 18:09:20.158,22153.844,19.962
12/18/2020 18:09:16.219,22149.905,19.9215
12/18/2020 18:09:08.081,22141.767,19.8708
12/18/2020 18:09:04.359,22138.045,19.853
12/18/2020 18:09:00.233,22133.919,19.8446
12/18/2020 18:08:56.404,22130.09,19.852
12/18/2020 18:08:48.074,22121.76,19.8726
12/18/2020 18:08:44.054,22117.74,19.8883
12/18/2020 18:08:41.131,22114.817,19.9021
12/18/2020 18:08:37.208,22110.894,19.9144
12/18/2020 18:08:32.098,22105.784,19.9151
12/18/2020 18:08:24.144,22097.83,19.918
12/18/2020 18:08:22.115,22095.801,19.9193
12/18/2020 18:08:12.121,22085.807,19.9261
12/18/2020 18:08:02.080,22075.766,19.9296
12/18/2020 18:07:57.922,22071.608,19.9017
12/18/2020 18:07:53.889,22067.575,19.9328
12/18/2020 18:07:50.059,22063.745,19.9617
12/18/2020 18:07:46.027,22059.713,19.8861
12/18/2020 18:07:42.015,22055.701,19.8923
12/18/2020 18:07:37.994,22051.68,19.8987
12/18/2020 18:07:33.962,22047.648,19.9052
12/18/2020 18:07:30.024,22043.71,19.911
12/18/2020 18:07:25.992,22039.678,19.9171
12/18/2020 18:07:22.164,22035.85,19.9212
12/18/2020 18:07:17.945,22031.631,19.9265
12/18/2020 18:07:13.914,22027.6,19.9309
12/18/2020 18:07:10.069,22023.755,19.9324
12/18/2020 18:07:06.649,22020.335,19.9356
12/18/2020 18:07:01.991,22015.677,19.9408
12/18/2020 18:06:57.959,22011.645,19.9471
12/18/2020 18:06:54.723,22008.409,19.9533
12/18/2020 18:06:49.873,22003.559,19.9704
12/18/2020 18:06:46.059,21999.745,19.9959
12/18/2020 18:06:42.022,21995.708,20.027
12/18/2020 18:06:37.989,21991.675,20.0594
12/18/2020 18:06:34.957,21988.643,20.0942
12/18/2020 18:06:30.034,21983.72,20.0314
12/18/2020 18:06:26.010,21979.696,20.033
12/18/2020 18:06:21.971,21975.657,20.0346
12/18/2020 18:06:13.939,21967.625,20.0373
12/18/2020 18:06:10.124,21963.81,20.0364
12/18/2020 18:06:05.985,21959.671,20.0285
12/18/2020 18:06:02.156,21955.842,19.91
12/18/2020 18:05:55.906,21949.592,19.9138
12/18/2020 18:05:46.077,21939.763,19.9237
12/18/2020 18:05:42.139,21935.825,19.9313
12/18/2020 18:05:37.919,21931.605,19.9421
12/18/2020 18:05:33.888,21927.574,19.9633
12/18/2020 18:05:30.070,21923.756,20.0076
12/18/2020 18:05:22.028,21915.714,20.0596
12/18/2020 18:05:17.901,21911.587,20.0548
12/18/2020 18:05:14.182,21907.868,20.0522
12/18/2020 18:05:10.057,21903.743,20.051
12/18/2020 18:05:06.040,21899.726,20.0527
12/18/2020 18:05:02.008,21895.694,20.0568
12/18/2020 18:04:58.773,21892.459,20.0603
12/18/2020 18:04:54.043,21887.729,20.064
12/18/2020 18:04:50.015,21883.701,20.0696
12/18/2020 18:04:45.999,21879.685,19.9255
12/18/2020 18:04:41.967,21875.653,20.0012
12/18/2020 18:04:37.950,21871.636,20.0371
12/18/2020 18:04:33.933,21867.619,19.9595
12/18/2020 18:04:31.902,21865.588,19.9632
12/18/2020 18:04:21.963,21855.649,19.9816
12/18/2020 18:04:17.931,21851.617,19.9971
12/18/2020 18:04:13.926,21847.612,20.0244
12/18/2020 18:04:09.805,21843.491,20.0695
12/18/2020 18:04:01.959,21835.645,20.0732
12/18/2020 18:03:57.937,21831.623,20.069
12/18/2020 18:03:53.912,21827.598,20.0694
12/18/2020 18:03:49.879,21823.565,20.0715
12/18/2020 18:03:45.847,21819.533,20.075
12/18/2020 18:03:42.018,21815.704,20.0787
12/18/2020 18:03:37.989,21811.675,20.0848
12/18/2020 18:03:33.846,21807.532,20.087
12/18/2020 18:03:29.923,21803.609,20.0921
12/18/2020 18:03:21.858,21795.544,20.2569
12/18/2020 18:03:18.027,21791.713,20.1446
12/18/2020 18:03:13.990,21787.676,20.1509
12/18/2020 18:03:09.974,21783.66,20.1583
12/18/2020 18:03:05.942,21779.628,20.1655
12/18/2020 18:03:01.937,21775.623,20.1737
12/18/2020 18:02:57.879,21771.565,20.1811
12/18/2020 18:02:53.942,21767.628,20.1872
12/18/2020 18:02:49.920,21763.606,20.1912
