Seconds,Values
0.0,20.7988
0.02,20.79880433624481
0.04,20.798808672489624
0.06,20.798813008734435
0.08,20.79881734497925
0.1,20.79882168122406
0.12,20.798826017468873
0.14,20.798830353713683
0.16,20.798834689958497
0.18,20.798839026203307
0.2,20.79884336244812
0.22,20.79884769869293
0.24,20.798852034937745
0.26,20.798856371182556
0.28,20.79886070742737
0.3,20.79886504367218
0.32,20.79886937991699
0.34,20.798873716161804
0.36,20.798878052406614
0.38,20.79888238865143
0.4,20.79888672489624
0.42,20.798891061141052
0.44,20.798895397385863
0.46,20.798899733630677
0.48,20.798904069875487
0.5,20.7989084061203
0.52,20.79891274236511
0.54,20.798917078609925
0.56,20.798921414854735
0.58,20.79892575109955
0.6,20.79893008734436
0.62,20.79893442358917
0.64,20.798938759833984
0.66,20.798943096078794
0.68,20.798947432323608
0.7000000000000001,20.79895176856842
0.72,20.798956104813232
0.74,20.798960441058043
0.76,20.798964777302857
0.78,20.798969113547667
0.8,20.79897344979248
0.8200000000000001,20.79897778603729
0.84,20.798982122282105
0.86,20.798986458526915
0.88,20.79899079477173
0.9,20.79899513101654
0.92,20.79899946726135
0.9400000000000001,20.799003803506164
0.96,20.799008139750974
0.98,20.799012475995788
1.0,20.7990168122406
1.02,20.799021148485412
1.04,20.799025484730223
1.06,20.799029820975036
1.08,20.799034157219847
1.1,20.79903849346466
1.12,20.79904282970947
1.1400000000000001,20.799047165954285
1.16,20.799051502199095
1.18,20.79905583844391
1.2,20.79906017468872
1.22,20.79906451093353
1.24,20.799068847178344
1.26,20.799073183423154
1.28,20.799077519667968
1.3,20.799081855912778
1.32,20.799086192157592
1.34,20.799090528402402
1.36,20.799094864647216
1.3800000000000001,20.799099200892027
1.4000000000000001,20.79910353713684
1.42,20.79910787338165
1.44,20.799112209626465
1.46,20.799116545871275
1.48,20.79912088211609
1.5,20.7991252183609
1.52,20.79912955460571
1.54,20.799133890850523
1.56,20.799138227095334
1.58,20.799142563340148
1.6,20.799146899584958
1.62,20.799151235829772
1.6400000000000001,20.799155572074582
1.6600000000000001,20.799159908319396
1.68,20.799164244564206
1.7,20.79916858080902
1.72,20.79917291705383
1.74,20.799177253298645
1.76,20.799181589543455
1.78,20.79918592578827
1.8,20.79919026203308
1.82,20.79919459827789
1.84,20.799198934522703
1.86,20.799203270767514
1.8800000000000001,20.799207607012328
1.9000000000000001,20.799211943257138
1.92,20.79921627950195
1.94,20.799220615746762
1.96,20.799224951991576
1.98,20.799229288236386
2.0,20.7992336244812
2.02,20.79923796072601
2.04,20.799242296970824
2.06,20.799246633215635
2.08,20.79925096946045
2.1,20.79925530570526
2.12,20.799259641950073
2.14,20.799263978194883
2.16,20.799268314439693
2.18,20.799272650684507
2.2,20.799276986929318
2.22,20.79928132317413
2.24,20.799285659418942
2.2600000000000002,20.799289995663756
2.2800000000000002,20.799294331908566
2.3000000000000003,20.79929866815338
2.32,20.79930300439819
2.34,20.799307340643004
2.36,20.799311676887815
2.38,20.79931601313263
2.4,20.79932034937744
2.42,20.799324685622253
2.44,20.799329021867063
2.46,20.799333358111873
2.48,20.799337694356687
2.5,20.799342030601498
2.52,20.79934636684631
2.54,20.79935070309112
2.56,20.799355039335936
2.58,20.799359375580746
2.6,20.79936371182556
2.62,20.79936804807037
2.64,20.799372384315184
2.66,20.799376720559994
2.68,20.79938105680481
2.7,20.79938539304962
2.72,20.799389729294433
2.74,20.799394065539243
2.7600000000000002,20.799398401784053
2.7800000000000002,20.799402738028867
2.8000000000000003,20.799407074273677
2.82,20.79941141051849
2.84,20.7994157467633
2.86,20.799420083008116
2.88,20.799424419252926
2.9,20.79942875549774
2.92,20.79943309174255
2.94,20.799437427987364
2.96,20.799441764232174
2.98,20.799446100476988
3.0,20.7994504367218
3.02,20.799454772966612
3.04,20.799459109211423
3.06,20.799463445456233
3.08,20.799467781701047
3.1,20.799472117945857
3.12,20.79947645419067
3.14,20.79948079043548
3.16,20.799485126680295
3.18,20.799489462925106
3.2,20.79949379916992
3.22,20.79949813541473
3.24,20.799502471659544
3.2600000000000002,20.799506807904354
3.2800000000000002,20.799511144149168
3.3000000000000003,20.79951548039398
3.3200000000000003,20.799519816638792
3.34,20.799524152883603
3.36,20.799528489128413
3.38,20.799532825373227
3.4,20.799537161618037
3.42,20.79954149786285
3.44,20.79954583410766
3.46,20.799550170352475
3.48,20.799554506597286
3.5,20.7995588428421
3.52,20.79956317908691
3.54,20.799567515331724
3.56,20.799571851576534
3.58,20.799576187821348
3.6,20.799580524066158
3.62,20.799584860310972
3.64,20.799589196555782
3.66,20.799593532800593
3.68,20.799597869045407
3.7,20.799602205290217
3.72,20.79960654153503
3.74,20.79961087777984
3.7600000000000002,20.799615214024655
3.7800000000000002,20.799619550269465
3.8000000000000003,20.79962388651428
3.8200000000000003,20.79962822275909
3.84,20.799632559003904
3.86,20.799636895248714
3.88,20.799641231493528
3.9,20.799645567738338
3.92,20.799649903983152
3.94,20.799654240227962
3.96,20.799658576472773
3.98,20.799662912717586
4.0,20.799667248962397
4.0200000000000005,20.79967158520721
4.04,20.79967592145202
4.0600000000000005,20.799680257696835
4.08,20.799684593941645
4.1,20.79968893018646
4.12,20.79969326643127
4.14,20.799697602676083
4.16,20.799701938920894
4.18,20.799706275165708
4.2,20.799710611410518
4.22,20.799714947655332
4.24,20.799719283900142
4.26,20.799723620144952
4.28,20.799727956389766
4.3,20.799732292634577
4.32,20.79973662887939
4.34,20.7997409651242
4.36,20.799745301369015
4.38,20.799749637613825
4.4,20.79975397385864
4.42,20.79975831010345
4.44,20.799762646348263
4.46,20.799766982593074
4.48,20.799771318837887
4.5,20.799775655082698
4.5200000000000005,20.79977999132751
4.54,20.799784327572322
4.5600000000000005,20.799788663817132
4.58,20.799793000061946
4.6000000000000005,20.799797336306757
4.62,20.79980167255157
4.64,20.79980600879638
4.66,20.799810345041195
4.68,20.799814681286005
4.7,20.79981901753082
4.72,20.79982335377563
4.74,20.799827690020443
4.76,20.799832026265253
4.78,20.799836362510067
4.8,20.799840698754878
4.82,20.79984503499969
4.84,20.799849371244502
4.86,20.799853707489312
4.88,20.799858043734126
4.9,20.799862379978936
4.92,20.79986671622375
4.94,20.79987105246856
4.96,20.799875388713374
4.98,20.799879724958185
5.0,20.799884061203
5.0200000000000005,20.79988839744781
5.04,20.799892733692623
